epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1009.64,0.75143,0.69088,1.16665,0.85295,0.79035,0.82249,0.5555,1.10972,0.82534,1.54195,0.000240644,0.000240644,0.000240644
86,1021.36,0.76235,0.71853,1.18027,0.79667,0.7756,0.79874,0.55459,1.10186,0.86153,1.52898,0.000226497,0.000226497,0.000226497
87,1033,0.76127,0.70084,1.16238,0.83144,0.7952,0.82166,0.55732,1.12066,0.84167,1.54871,0.000212349,0.000212349,0.000212349
88,1044.65,0.75332,0.67509,1.1626,0.81325,0.83941,0.83411,0.59272,1.07885,0.79359,1.50735,0.000198202,0.000198202,0.000198202
89,1056.35,0.74887,0.69188,1.16719,0.79758,0.8064,0.83986,0.58851,1.07334,0.81981,1.51281,0.000184055,0.000184055,0.000184055
90,1068.05,0.76183,0.69866,1.16062,0.7668,0.78261,0.82319,0.56497,1.11356,0.88282,1.57417,0.000169908,0.000169908,0.000169908
91,1095.51,0.6052,0.49894,1.05528,0.81715,0.79036,0.81125,0.54847,1.16945,0.91034,1.6418,0.000155761,0.000155761,0.000155761
92,1107.15,0.58597,0.47273,1.06563,0.81862,0.74358,0.80822,0.54763,1.19113,0.93325,1.6485,0.000141614,0.000141614,0.000141614
93,1118.76,0.58338,0.43893,1.06131,0.82701,0.76494,0.80297,0.54504,1.17557,0.91251,1.62522,0.000127467,0.000127467,0.000127467
94,1130.35,0.5702,0.46462,1.03957,0.8203,0.76742,0.83031,0.57413,1.12147,0.84148,1.5664,0.00011332,0.00011332,0.00011332
95,1141.99,0.5605,0.42035,1.03082,0.78648,0.73332,0.79549,0.54433,1.12027,0.90781,1.55586,9.91726e-05,9.91726e-05,9.91726e-05
96,1153.58,0.54541,0.41771,1.02734,0.8078,0.73397,0.78246,0.5458,1.13905,0.90812,1.56516,8.50255e-05,8.50255e-05,8.50255e-05
97,1165.2,0.52603,0.39868,1.02602,0.83546,0.74977,0.78157,0.5462,1.15415,0.90703,1.58553,7.08784e-05,7.08784e-05,7.08784e-05
98,1176.84,0.52611,0.39364,1.01748,0.81126,0.7616,0.78545,0.54838,1.14206,0.93097,1.59009,5.67313e-05,5.67313e-05,5.67313e-05
99,1188.48,0.53248,0.40328,1.00753,0.88061,0.69664,0.80079,0.56239,1.16137,0.88973,1.60794,4.25842e-05,4.25842e-05,4.25842e-05
100,1200.37,0.51924,0.37497,0.98229,0.88074,0.7277,0.80312,0.5621,1.15761,0.86679,1.59352,2.84371e-05,2.84371e-05,2.84371e-05
